left_x,left_y,right_x,right_y,u,v,exx,eyy,exy,zncc
21.000000,21.000000,22.959463,22.477465,1.959463,1.477466,NaN,NaN,NaN,0.012766
24.000000,21.000000,25.887772,22.371855,1.887771,1.371854,NaN,NaN,NaN,0.012624
27.000000,21.000000,28.894402,22.237143,1.894401,1.237143,NaN,NaN,NaN,0.013175
30.000000,21.000000,31.857319,22.074675,1.857319,1.074675,NaN,NaN,NaN,0.011807
33.000000,21.000000,34.940300,21.955547,1.940301,0.955548,NaN,NaN,NaN,0.009523
36.000000,21.000000,37.913734,21.719530,1.913734,0.719531,NaN,NaN,NaN,0.008085
39.000000,21.000000,40.889626,21.615582,1.889627,0.615581,NaN,NaN,NaN,0.007330
42.000000,21.000000,43.893661,21.442438,1.893661,0.442439,NaN,NaN,NaN,0.007819
45.000000,21.000000,46.894417,21.256216,1.894415,0.256216,NaN,NaN,NaN,0.007376
48.000000,21.000000,49.860336,21.072771,1.860335,0.072771,NaN,NaN,NaN,0.008399
51.000000,21.000000,52.849854,20.871067,1.849854,-0.128933,NaN,NaN,NaN,0.009591
54.000000,21.000000,55.821770,20.653522,1.821769,-0.346478,NaN,NaN,NaN,0.009318
57.000000,21.000000,58.852455,20.551764,1.852453,-0.448237,NaN,NaN,NaN,0.009027
60.000000,21.000000,61.828506,20.312115,1.828508,-0.687885,NaN,NaN,NaN,0.008893
63.000000,21.000000,64.811806,20.119638,1.811805,-0.880361,NaN,NaN,NaN,0.009372
66.000000,21.000000,67.772560,19.935724,1.772557,-1.064275,NaN,NaN,NaN,0.008702
69.000000,21.000000,70.708267,19.817528,1.708264,-1.182471,NaN,NaN,NaN,0.006963
72.000000,21.000000,73.710960,19.747986,1.710959,-1.252014,NaN,NaN,NaN,0.005174
75.000000,21.000000,76.699524,19.680346,1.699520,-1.319654,NaN,NaN,NaN,0.005158
78.000000,21.000000,79.659409,19.518076,1.659407,-1.481924,NaN,NaN,NaN,0.005623
81.000000,21.000000,82.547714,19.353113,1.547715,-1.646888,NaN,NaN,NaN,0.006231
84.000000,21.000000,85.486168,19.227356,1.486169,-1.772644,NaN,NaN,NaN,0.004810
87.000000,21.000000,88.550903,19.072351,1.550904,-1.927648,NaN,NaN,NaN,0.004636
90.000000,21.000000,91.668465,19.099659,1.668464,-1.900342,NaN,NaN,NaN,0.004232
93.000000,21.000000,94.681450,19.040226,1.681452,-1.959775,NaN,NaN,NaN,0.005007
96.000000,21.000000,97.713387,18.996092,1.713385,-2.003907,NaN,NaN,NaN,0.005409
99.000000,21.000000,100.710907,18.981373,1.710905,-2.018628,NaN,NaN,NaN,0.006246
102.000000,21.000000,103.674080,18.981100,1.674080,-2.018900,NaN,NaN,NaN,0.006446
105.000000,21.000000,106.683807,19.054195,1.683810,-1.945805,NaN,NaN,NaN,0.011352
108.000000,21.000000,109.645546,19.113897,1.645542,-1.886103,NaN,NaN,NaN,0.014416
111.000000,21.000000,112.701714,19.195988,1.701714,-1.804012,NaN,NaN,NaN,0.006563
114.000000,21.000000,115.678009,19.280958,1.678007,-1.719042,NaN,NaN,NaN,0.008130
117.000000,21.000000,118.686981,19.377701,1.686984,-1.622299,NaN,NaN,NaN,0.007207
120.000000,21.000000,121.689034,19.471916,1.689037,-1.528084,NaN,NaN,NaN,0.006262
123.000000,21.000000,124.716103,19.584860,1.716099,-1.415139,NaN,NaN,NaN,0.005944
126.000000,21.000000,127.735382,19.732979,1.735383,-1.267021,NaN,NaN,NaN,0.005857
129.000000,21.000000,130.749695,19.881485,1.749693,-1.118516,NaN,NaN,NaN,0.005806
132.000000,21.000000,133.785202,20.053202,1.785203,-0.946798,NaN,NaN,NaN,0.006607
135.000000,21.000000,136.740265,20.219400,1.740263,-0.780600,NaN,NaN,NaN,0.006184
138.000000,21.000000,139.754868,20.356274,1.754871,-0.643727,NaN,NaN,NaN,0.006282
141.000000,21.000000,142.741211,20.495323,1.741216,-0.504677,NaN,NaN,NaN,0.006589
144.000000,21.000000,145.811493,20.647665,1.811485,-0.352335,NaN,NaN,NaN,0.007874
147.000000,21.000000,148.858383,20.812445,1.858386,-0.187555,NaN,NaN,NaN,0.008268
150.000000,21.000000,151.895615,20.974895,1.895616,-0.025104,NaN,NaN,NaN,0.007156
153.000000,21.000000,155.033676,21.196587,2.033678,0.196587,NaN,NaN,NaN,0.008696
156.000000,21.000000,157.869354,21.431328,1.869356,0.431328,NaN,NaN,NaN,0.008615
159.000000,21.000000,160.855255,21.664473,1.855255,0.664473,NaN,NaN,NaN,0.007766
162.000000,21.000000,163.726349,21.822107,1.726351,0.822108,NaN,NaN,NaN,0.007406
165.000000,21.000000,166.616364,21.939018,1.616357,0.939018,NaN,NaN,NaN,0.008390
168.000000,21.000000,169.866516,22.130255,1.866513,1.130256,NaN,NaN,NaN,0.008685
171.000000,21.000000,172.825073,22.217817,1.825075,1.217818,NaN,NaN,NaN,0.009901
174.000000,21.000000,175.948700,22.345167,1.948694,1.345167,NaN,NaN,NaN,0.011174
177.000000,21.000000,178.894562,22.536970,1.894564,1.536970,NaN,NaN,NaN,0.010284
180.000000,21.000000,181.910141,22.713921,1.910140,1.713921,NaN,NaN,NaN,0.011422
183.000000,21.000000,185.037033,22.783154,2.037033,1.783153,NaN,NaN,NaN,0.010273
186.000000,21.000000,188.056458,22.874071,2.056464,1.874071,NaN,NaN,NaN,0.008654
12.000000,24.000000,14.183004,25.785858,2.183005,1.785857,NaN,NaN,NaN,0.010713
15.000000,24.000000,17.182377,25.674835,2.182377,1.674835,NaN,NaN,NaN,0.013256
18.000000,24.000000,20.109247,25.551617,2.109247,1.551616,NaN,NaN,NaN,0.015160
21.000000,24.000000,23.106369,25.452717,2.106368,1.452717,NaN,NaN,NaN,0.012941
24.000000,24.000000,26.104975,25.392477,2.104974,1.392477,NaN,NaN,NaN,0.013542
27.000000,24.000000,29.112171,25.249647,2.112171,1.249647,NaN,NaN,NaN,0.014157
30.000000,24.000000,32.055420,25.091536,2.055421,1.091535,NaN,NaN,NaN,0.012460
33.000000,24.000000,35.097569,24.920998,2.097567,0.920998,NaN,NaN,NaN,0.010731
36.000000,24.000000,38.096859,24.660109,2.096859,0.660108,NaN,NaN,NaN,0.009324
39.000000,24.000000,41.111271,24.615772,2.111270,0.615773,NaN,NaN,NaN,0.007931
42.000000,24.000000,44.115643,24.446774,2.115643,0.446773,NaN,NaN,NaN,0.008282
45.000000,24.000000,47.104042,24.252934,2.104042,0.252934,NaN,NaN,NaN,0.007877
48.000000,24.000000,50.074589,24.087107,2.074590,0.087107,NaN,NaN,NaN,0.008788
51.000000,24.000000,53.032707,23.890627,2.032709,-0.109373,NaN,NaN,NaN,0.010027
54.000000,24.000000,55.996788,23.644375,1.996789,-0.355626,NaN,NaN,NaN,0.009988
57.000000,24.000000,59.060261,23.534895,2.060262,-0.465105,NaN,NaN,NaN,0.009515
60.000000,24.000000,62.016708,23.309742,2.016710,-0.690258,NaN,NaN,NaN,0.010576
63.000000,24.000000,64.980812,23.113789,1.980813,-0.886211,NaN,NaN,NaN,0.012394
66.000000,24.000000,67.925438,22.920372,1.925435,-1.079628,NaN,NaN,NaN,0.011677
69.000000,24.000000,70.969948,22.808788,1.969944,-1.191211,NaN,NaN,NaN,0.010104
72.000000,24.000000,74.001495,22.746143,2.001495,-1.253858,NaN,NaN,NaN,0.008691
75.000000,24.000000,76.950729,22.683046,1.950726,-1.316953,NaN,NaN,NaN,0.009285
78.000000,24.000000,79.948738,22.497643,1.948740,-1.502358,NaN,NaN,NaN,0.010858
